Date,dividend,ticker
1996-05-24,0.742958,RELIANCE.NS
1997-05-16,0.804871,RELIANCE.NS
1998-05-06,0.866784,RELIANCE.NS
1999-05-07,0.928697,RELIANCE.NS
2000-04-06,0.99061,RELIANCE.NS
2001-04-26,1.052523,RELIANCE.NS
2002-10-23,1.176349,RELIANCE.NS
2003-05-23,1.238263,RELIANCE.NS
2004-05-20,1.300176,RELIANCE.NS
2005-05-12,1.857394,RELIANCE.NS
2006-06-01,2.476525,RELIANCE.NS
2007-03-21,2.724178,RELIANCE.NS
2008-05-08,3.219483,RELIANCE.NS
2009-10-16,3.219483,RELIANCE.NS
2010-05-10,3.467135,RELIANCE.NS
2011-05-05,3.96244,RELIANCE.NS
2012-05-31,4.210093,RELIANCE.NS
2013-05-10,4.457745,RELIANCE.NS
2014-05-16,4.705398,RELIANCE.NS
2015-05-08,4.95305,RELIANCE.NS
2016-03-17,5.200703,RELIANCE.NS
2017-07-13,5.448355,RELIANCE.NS
2018-06-27,5.94366,RELIANCE.NS
2019-08-02,6.438965,RELIANCE.NS
2020-07-02,6.5,RELIANCE.NS
2021-06-11,7.0,RELIANCE.NS
2022-08-18,8.0,RELIANCE.NS
2023-08-21,9.0,RELIANCE.NS
2009-07-24,0.901257,BHARTIARTL.NS
2010-08-18,0.901257,BHARTIARTL.NS
2011-08-17,0.901257,BHARTIARTL.NS
2012-08-16,0.901257,BHARTIARTL.NS
2013-05-23,0.901257,BHARTIARTL.NS
2014-08-21,3.091312,BHARTIARTL.NS
2015-08-13,2.000791,BHARTIARTL.NS
2016-08-11,1.22571,BHARTIARTL.NS
2017-07-13,0.901257,BHARTIARTL.NS
2018-01-30,2.559571,BHARTIARTL.NS
2018-08-02,2.253143,BHARTIARTL.NS
2018-11-05,2.253143,BHARTIARTL.NS
2020-08-06,1.963142,BHARTIARTL.NS
2022-08-01,3.0,BHARTIARTL.NS
2023-08-11,4.0,BHARTIARTL.NS
2002-07-11,0.366667,ASIANPAINT.NS
2002-10-21,0.3,ASIANPAINT.NS
2003-07-09,0.433333,ASIANPAINT.NS
2003-11-07,0.35,ASIANPAINT.NS
2004-06-16,0.5,ASIANPAINT.NS
2004-11-01,0.4,ASIANPAINT.NS
2005-06-22,0.55,ASIANPAINT.NS
2005-10-31,0.45,ASIANPAINT.NS
2006-06-15,0.8,ASIANPAINT.NS
2006-11-03,0.55,ASIANPAINT.NS
2007-03-20,0.65,ASIANPAINT.NS
2007-06-13,0.1,ASIANPAINT.NS
2007-10-25,0.65,ASIANPAINT.NS
2008-06-12,1.05,ASIANPAINT.NS
2008-10-29,0.65,ASIANPAINT.NS
2009-06-17,1.1,ASIANPAINT.NS
2009-10-26,0.85,ASIANPAINT.NS
2010-06-30,1.85,ASIANPAINT.NS
2010-10-29,0.85,ASIANPAINT.NS
2011-06-09,2.35,ASIANPAINT.NS
2011-10-25,0.95,ASIANPAINT.NS
2012-06-07,3.05,ASIANPAINT.NS
2012-10-29,0.95,ASIANPAINT.NS
2013-06-06,3.65,ASIANPAINT.NS
2013-10-24,1.1,ASIANPAINT.NS
2014-06-16,4.2,ASIANPAINT.NS
2014-09-22,1.8,ASIANPAINT.NS
2015-06-24,4.3,ASIANPAINT.NS
2015-10-28,2.2,ASIANPAINT.NS
2016-06-16,5.3,ASIANPAINT.NS
2016-11-01,2.65,ASIANPAINT.NS
2017-06-15,2.0,ASIANPAINT.NS
2017-10-31,2.65,ASIANPAINT.NS
2018-06-14,6.05,ASIANPAINT.NS
2018-10-29,2.85,ASIANPAINT.NS
2019-06-13,7.65,ASIANPAINT.NS
2019-10-30,3.35,ASIANPAINT.NS
2020-03-03,7.15,ASIANPAINT.NS
2020-07-23,1.5,ASIANPAINT.NS
2020-10-28,3.35,ASIANPAINT.NS
2021-06-10,14.5,ASIANPAINT.NS
2021-10-28,3.65,ASIANPAINT.NS
2022-06-09,15.5,ASIANPAINT.NS
2022-10-31,4.4,ASIANPAINT.NS
2023-06-09,21.25,ASIANPAINT.NS
2023-11-03,5.15,ASIANPAINT.NS
1997-06-09,0.08,HDFCBANK.NS
1998-06-11,0.1,HDFCBANK.NS
1999-04-19,0.13,HDFCBANK.NS
2000-04-06,0.16,HDFCBANK.NS
2001-04-20,0.2,HDFCBANK.NS
2002-05-07,0.25,HDFCBANK.NS
2003-04-30,0.3,HDFCBANK.NS
2004-05-06,0.35,HDFCBANK.NS
2005-05-26,0.45,HDFCBANK.NS
