Date,Open,High,Low,Close,Volume
2018-03-01,845.2784307447839,854.3119205554544,841.8964047077159,844.076904296875,4478295
2018-03-05,839.2708413846985,845.6343444597761,820.2248309345872,822.4498291015625,6162847
2018-03-06,826.8108803134273,833.2188825699582,805.5398703475438,810.6573486328125,8009863
2018-03-07,809.2333562167814,809.2333562167814,790.3653390204732,791.8783569335938,7926773
2018-03-08,798.9093258668134,813.9058895288323,795.0378727211885,811.1913452148438,6641983
2018-03-09,814.2618664871839,818.2223765363028,810.8353417720805,812.6598510742188,5319263
2018-03-12,818.8009090878917,830.4599460358168,816.6204094340794,827.9678955078125,4157575
2018-03-13,829.3919108895736,833.0409296877076,820.0024306239682,829.347412109375,5574365
2018-03-14,826.6329138174272,829.5253938947629,818.0889105129494,826.8554077148438,7362232
2018-03-15,823.2508428497342,827.2113528295596,809.9008532674077,811.5028686523438,6355918
2018-03-16,809.0108699908321,809.6339123203312,788.5853953191631,801.04541015625,15407481
2018-03-19,801.8908953060602,807.1418702104753,793.8808771974335,796.9959106445312,6315416
2018-03-20,795.0378849313678,804.5608613331034,789.4753592932012,791.9228515625,7596491
2018-03-21,796.4173120095301,803.0923068347761,795.0378499137481,798.2418212890625,7357563
2018-03-22,797.4409541290812,811.6364819318171,797.2184602117418,808.2544555664062,11064861
2018-03-23,792.6348610546211,801.0008695023738,791.2998976284407,795.5718994140625,11734999
2018-03-26,795.6162942967206,804.8277783781417,794.325770409018,801.9797973632812,6613852
2018-03-27,807.4088716654314,810.5683442838161,798.3308239865707,800.8228149414062,7589772
2018-03-28,797.2628570440048,797.3073558217824,783.200827389876,785.6038208007812,9580304
2018-04-02,794.7708171377388,801.8463605412602,788.9858571286059,794.726318359375,6247249
2018-04-03,792.9909328575349,802.5139098739152,787.8733946814979,800.6004028320312,6961063
2018-04-04,805.1837897775638,811.502853646346,793.9253023359777,796.4617919921875,7107267
2018-04-05,805.5398445699115,809.9008434905971,804.1158243103899,808.298828125,4263957
2018-04-06,808.1209073071924,817.4658888788862,805.4509210596973,810.7908935546875,4832444
2018-04-09,812.1703088204674,817.9108290002127,812.1703088204674,815.2407836914062,3906948
2018-04-10,817.37682097697,822.2718646555356,813.5943655397415,816.1753540039062,4227566
2018-04-11,820.4029414226482,830.1484121885281,815.2854033311959,828.4574584960938,6570408
2018-04-12,827.5673561658591,833.619368174183,822.5388754569689,826.5438842773438,5411296
2018-04-13,830.1038039223969,838.1138211579986,826.543842470619,835.5773315429688,6308408
2018-04-16,831.6614068542191,836.6009496816926,826.365933196607,833.9754028320312,4467137
2018-04-17,836.6009062904026,843.0089085298904,833.0408852426032,840.3833618164062,4799908
2018-04-18,841.2734240782208,843.8989114659684,832.1953760528947,834.8209228515625,3680493
2018-04-19,835.7998476533136,841.0508815360123,832.1508291425328,838.6478881835938,4901293
2018-04-20,834.8208983474697,838.2473636614704,819.8688930757718,825.8318481445312,3663348
2018-04-23,827.7008012858023,840.4723061786461,826.365838035556,833.0408325195312,3837241
2018-04-24,832.8629029185479,868.3739381533511,832.1508630515049,863.3453979492188,9960557
2018-04-25,866.549331752234,873.8028100692143,857.5603418569458,863.745849609375,7039691
2018-04-26,865.9709369827069,879.3209268815262,856.4034026342432,868.0624389648438,17048499
2018-04-27,880.9229881244111,899.7910057231469,877.0959741859689,886.7080078125,12759323
2018-04-30,873.98090803755,883.4148861372223,854.4008526045998,857.337890625,9703034
2018-05-02,860.630879671141,871.4888782605155,858.8953679657288,865.7039184570312,6690957
2018-05-03,870.3320313357574,870.3320313357574,853.733509995935,855.8250122070312,4317406
2018-05-04,856.9373791116544,858.5838932956576,845.5008962007702,849.0164184570312,4151324
2018-05-07,853.3774179392692,866.1934223750181,851.1524196446288,864.19091796875,3841634
2018-05-08,869.9758909505653,873.9808995497317,859.0288357603555,860.7198486328125,5396324
2018-05-09,859.6519421889309,876.0279085993948,856.4034125274616,869.263916015625,4915522
2018-05-10,872.2010153246163,876.2950220667482,867.0834771914895,873.2244873046875,4390792
