2024-02-21 23:10:58,154 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker RELIANCE.NS
2024-02-21 23:10:58,167 | data_create_log | INFO | Successfully saved file RELIANCE.csv to path D:\Study\DE\Project\data_source\
2024-02-21 23:10:58,570 | data_create_log | INFO | Successfully fetched data for ticker name: BHARTIARTL.NS
2024-02-21 23:10:58,575 | data_create_log | INFO | Successfully created dataframe for ticker name: BHARTIARTL.NS
2024-02-21 23:10:58,576 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker BHARTIARTL.NS
2024-02-21 23:10:58,588 | data_create_log | INFO | Successfully saved file BHARTIARTL.csv to path D:\Study\DE\Project\data_source\
2024-02-21 23:10:58,844 | data_create_log | INFO | Successfully fetched data for ticker name: ASIANPAINT.NS
2024-02-21 23:10:58,848 | data_create_log | INFO | Successfully created dataframe for ticker name: ASIANPAINT.NS
2024-02-21 23:10:58,849 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker ASIANPAINT.NS
2024-02-21 23:10:58,863 | data_create_log | INFO | Successfully saved file ASIANPAINT.csv to path D:\Study\DE\Project\data_source\
2024-02-21 23:10:59,135 | data_create_log | INFO | Successfully fetched data for ticker name: HDFCBANK.NS
2024-02-21 23:10:59,139 | data_create_log | INFO | Successfully created dataframe for ticker name: HDFCBANK.NS
2024-02-21 23:10:59,141 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker HDFCBANK.NS
2024-02-21 23:10:59,158 | data_create_log | INFO | Successfully saved file HDFCBANK.csv to path D:\Study\DE\Project\data_source\
2024-02-21 23:11:00,514 | data_create_log | INFO | Successfully fetched data for ticker name: ICICIBANK.NS
2024-02-21 23:11:00,518 | data_create_log | INFO | Successfully created dataframe for ticker name: ICICIBANK.NS
2024-02-21 23:11:00,519 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker ICICIBANK.NS
2024-02-21 23:11:00,523 | data_create_log | INFO | Successfully saved file ICICIBANK.json to path D:\Study\DE\Project\data_source\
2024-02-21 23:11:00,794 | data_create_log | INFO | Successfully fetched data for ticker name: SBIN.NS
2024-02-21 23:11:00,799 | data_create_log | INFO | Successfully created dataframe for ticker name: SBIN.NS
2024-02-21 23:11:00,800 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker SBIN.NS
2024-02-21 23:11:00,806 | data_create_log | INFO | Successfully saved file SBIN.json to path D:\Study\DE\Project\data_source\
2024-02-21 23:11:01,082 | data_create_log | INFO | Successfully fetched data for ticker name: TCS.NS
2024-02-21 23:11:01,086 | data_create_log | INFO | Successfully created dataframe for ticker name: TCS.NS
2024-02-21 23:11:01,087 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker TCS.NS
2024-02-21 23:11:01,092 | data_create_log | INFO | Successfully saved file TCS.json to path D:\Study\DE\Project\data_source\
2024-02-21 23:11:01,297 | data_create_log | INFO | Successfully fetched data for ticker name: MPHASIS.NS
2024-02-21 23:11:01,302 | data_create_log | INFO | Successfully created dataframe for ticker name: MPHASIS.NS
2024-02-21 23:11:01,303 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker MPHASIS.NS
2024-02-21 23:11:01,309 | data_create_log | INFO | Successfully saved file MPHASIS.json to path D:\Study\DE\Project\data_source\
2024-02-21 23:11:01,499 | data_create_log | INFO | Successfully fetched data for ticker name: TECHM.NS
2024-02-21 23:11:01,504 | data_create_log | INFO | Successfully created dataframe for ticker name: TECHM.NS
2024-02-21 23:11:01,505 | data_create_log | INFO | Successfully fetched 1475 rows of data for ticker TECHM.NS
2024-02-21 23:11:01,510 | data_create_log | INFO | Successfully saved file TECHM.json to path D:\Study\DE\Project\data_source\
2024-02-21 23:12:03,643 | data_create_log | INFO | Successfully fetched data for ticker name: ^NSEI
2024-02-21 23:12:03,645 | data_create_log | INFO | Successfully created dataframe for ticker name: ^NSEI
2024-02-21 23:12:03,645 | data_create_log | INFO | Successfully fetched 1 rows of data for ticker ^NSEI
2024-02-21 23:12:03,648 | data_create_log | INFO | Successfully saved 1 rows to file D:\Study\DE\Project\data_source\NSEI.csv
2024-02-21 23:12:03,772 | data_create_log | INFO | Successfully fetched data for ticker name: RELIANCE.NS
